id,rooms,address,price,lat,lon,canton
229,4,"Zürich, Hambergersteig 2",2370,47.3508538,8.5616740,zurich
230,2,"Zollikerberg, Trichtenhauser Str. 59",1900,47.3506125,8.6016516,zurich
231,2.5,"Zürich, Forchstr. 26",2635,47.3639876,8.5561156,zurich
232,2.5,"Zürich, Mühlebachstr. 28",4230,47.3648967,8.5500784,zurich
233,3.5,"Schwerzenbach, Einhardweg 6",1790,47.3820889,8.6607639,zurich
234,3.5,"Glattpark (Opfikon), Farman - str. 54",2420,47.4219601,8.5630932,zurich
235,3.5,"Zürich, Gutstr. 1",3065,47.3700399,8.5094419,zurich
236,4.5,"Adliswil, Im Sihlhof 29",3210,47.3220092,8.5232898,zurich
237,3,"Zürich, Pfirsichstrasse 7",3790,47.3893785,8.5376858,zurich
238,4,"Adliswil, Schwarzenbergstr. 1",2390,47.3088997,8.5194103,zurich
239,4.5,"Erlenbach ZH, Erlengutstrasse 6",4340,47.3011139,8.5933974,zurich
240,2.5,"Dietikon, Vorstadtstr. 11",1600,47.4085348,8.3990826,zurich
241,3,"Zürich, Limmattalstr. 286",2240,47.4033147,8.4900142,zurich
242,2,"Zürich, Witikonerstrasse 241",1900,47.3595157,8.5814390,zurich
243,2,"Zürich, Birchstrasse 180",4870,47.4142709,8.5380645,zurich
244,1.5,"Zürich, Badenerstrasse 310, 8004 Zürich",3200,47.3775234,8.5126021,zurich
245,4.5,"8954 Geroldswil, Contact agency for the address",4500,47.4215047,8.4115682,zurich
246,3.5,"8805 Richterswil, Contact agency for the address",2180,47.2078913,8.7075778,zurich
247,2.5,"8050 Zürich, Contact agency for the address",3360,47.4115547,8.5569220,zurich
248,3.5,"8703 Erlenbach ZH, Contact agency for the address",4170,47.3050623,8.6032805,zurich
249,4.5,"Horgen, Glärnischstrasse 37",3246,47.2560367,8.6062065,zurich
250,2.5,"8803 Rüschlikon, Contact agency for the address",3199,47.3072607,8.5525462,zurich
251,4.5,"Greifensee, Müllerwis 7",1960,47.3708980,8.6803970,zurich
252,2.5,"Wallisellen, Zwickystrasse 18",2840,47.4049838,8.6007469,zurich
253,2.5,"8125 Zollikerberg, Contact agency for the address",2200,47.3448313,8.6058710,zurich
254,3.5,"Dietlikon, In Lampitzäckern 43",2870,47.4144952,8.6153479,zurich
255,3.5,"Zürich, Zollikerstrasse 134",2100,47.3564105,8.5601409,zurich
256,4.5,"Winterthur, Römerstr. 150",1880,47.5060851,8.7539527,zurich
257,1.5,"Höri, Sonnenbühlstrasse 2",1600,47.5072627,8.5095912,zurich
258,5,"Geroldswil, Rebbergstrasse 36",2230,47.4254473,8.4066478,zurich
259,2.5,"Zürich, Wannerstr. 47",1560,47.3569307,8.5175104,zurich
260,3.5,"8192 Glattfelden, Contact agency for the address",1520,47.5584668,8.5036449,zurich
