id,rooms,address,price,lat,lon,canton
"137,3.5,""Moutier, Rue de l'Ouest 16"",920,47.2778552,7.3639150,berne"
"138,4.5,""Biel-Bienne, Meisenweg 8"",1550,47.1350697,7.2597929,berne"
"139,3.5,""Reconvilier, Chaudrette 11"",710,47.2368974,7.2205338,berne"
"140,2,""Tramelan, Printanière 2"",600,47.2249054,7.1012589,berne"
"141,3.5,""Hindelbank, Wylerweg 3"",1423,47.0407377,7.5402903,berne"
"142,2.5,""Erlach, Vinelzstrasse 2"",795,47.0420257,7.0974847,berne"
"143,4,""Moutier, Rue des Gorges 20"",780,47.2822396,7.3812011,berne"
"144,3.5,""Lyss, Kappelenstrasse 11"",1480,47.0711329,7.3013208,berne"
"145,3,""Moutier, Rue du Viaduc 59"",570,47.2744507,7.3745034,berne"
"146,5.5,""Langnau im Emmental, Zürchermatte BE 153'040 12"",1965,46.9438592,7.7740102,berne"
"147,4,""Jegenstorf, Staffelstr. 5a"",1450,47.0530927,7.5095428,berne"
"148,3.5,""Roggwil BE, Oberer Freiburgweg 25"",1450,47.2455453,7.8182991,berne"
"149,6,""3792 Saanen, Contact agency for the address"",N/A,46.4885760,7.2542812,berne"
"150,3.5,""Lyss, Hirschenplatz 4 -10"",1780,47.0740395,7.3059273,berne"
"151,3.5,""Schliern b. Köniz, Froschweg 12"",1620,46.9075160,7.4151780,berne"
"152,4.5,""Reconvilier, chemin de la Coperie 4"",1300,47.2309054,7.2295421,berne"
"153,4.5,""Moutier, Rue Neuve 27"",890,47.2782054,7.3672407,berne"
"154,N/A,""3780 Gstaad, Contact agency for the address"",66000,46.4722516,7.2856462,berne"
"155,4.5,""Orpund, Hauptstrasse 234"",1120,47.1404055,7.3146212,berne"
"156,2.5,""Tramelan, Rue de la Gare 28"",1190,47.2232133,7.1046323,berne"
"157,2,""Moutier, Rue du Crêt 6"",650,47.2824347,7.3839532,berne"
"158,4.5,""Pieterlen, Ahornweg 23"",2300,47.1732774,7.3388670,berne"
"159,3.5,""Lyss, Steinweg 14"",1550,47.0787190,7.3040792,berne"
"160,4.5,""3294 Büren an der Aare, Contact agency for the address"",2050,47.1401677,7.3751874,berne"
"161,6,""Biel-Bienne, Mattenstrasse 3"",2075,47.1329528,7.2470137,berne"
"162,2.5,""Bern, Holenackerstrasse 25"",1380,46.9495143,7.3809609,berne"
"163,3.5,""Madiswil, Obergasse 9C"",1320,47.1640293,7.7978909,berne"
"164,3.5,""Münchenbuchsee, Eichgutweg 23"",1330,47.0120072,7.4590529,berne"
"165,N/A,""3780 Gstaad, Contact agency for the address"",N/A,46.4783636,7.2882004,berne"
"166,4.5,""3066 Stettlen, Contact agency for the address"",2670,46.9599605,7.5327325,berne"
"167,5,""Burgdorf, Gotthelfstr. 52"",1700,47.0598530,7.6260560,berne"
"168,4.5,""4704 Niederbipp, Contact agency for the address"",1649,47.2747455,7.6967857,berne"
"169,4,""Roggwil BE, Platanenweg 9"",1260,47.2452500,7.8182408,berne"
"170,4,""Roggwil BE, Platanenweg 9"",1280,47.2452500,7.8182408,berne"
"171,2.5,""3416 Affoltern im Emmental, Contact agency for the address"",1500,47.0633465,7.7295306,berne"
"172,4,""Schwarzenburg, Im Than BE 163503 3"",1585,46.8165543,7.3385253,berne"
"173,3,""Biel-Bienne, Chemin de la Chênaie 61"",960,47.1539797,7.2656745,berne"
"174,3.5,""3422 Alchenflüh, Contact agency for the address"",1600,47.0839432,7.5743182,berne"
"175,3.5,""Bützberg, Buchiackerweg 8"",910,47.2142819,7.7453333,berne"
"176,2,""3780 Gstaad, Contact agency for the address"",N/A,46.4703237,7.2850193,berne"
"177,3.5,""Belprahon, quartier calme"",1090,47.2843947,7.4050731,berne"
"178,4.5,""Bern, Viktoriastr. (Townhouse) 21"",4090,46.9539950,7.4539211,berne"
"179,2,""Moutier, Rue de la Liberté - 18 12-18"",975,47.2759904,7.3780905,berne"
"180,4.5,""Aarwangen, Schmidtenweg 2"",1760,47.2409526,7.7687559,berne"
"181,3.5,""Langenthal, Brauihof 24"",1190,47.2126458,7.7863151,berne"
"182,3.5,""Biel-Bienne, fbg du lac 66"",1285,47.1396208,7.2433434,berne"
"183,3,""Villeret, Rue Jacques-René Fiechter 25"",620,47.1553993,7.0137470,berne"
"184,2.5,""Biel-Bienne, Brüggstrasse 1"",1370,47.1322730,7.2522380,berne"
"185,N/A,""3780 Gstaad, Contact agency for the address"",110000,46.4781141,7.2847669,berne"
"186,4.5,""4950 Huttwil, Contact agency for the address"",2170,47.1137615,7.8513091,berne"
"187,4.5,""Gals, Dorfstrasse 48"",1390,47.0310043,7.0549115,berne"
"188,4.5,""Lotzwil, Kirchgasse 23"",2390,47.1904828,7.7876007,berne"
"189,3,""Bern, Talweg 8A"",1420,46.9604016,7.4447679,berne"
"190,6.5,""4952 Eriswil, Contact agency for the address"",2130,47.0780052,7.8575777,berne"
"191,5.5,""3150 Schwarzenburg, Contact agency for the address"",1500,46.8134568,7.3403552,berne"
"192,2.5,""Seftigen, Sunneguetweg 8"",1230,46.7894953,7.5374249,berne"
"193,2.5,""Roggwil BE, Oberer Freiburgweg 25"",1275,47.2455581,7.8183361,berne"
"194,4.5,""Biel-Bienne, Poststrasse 32a"",1275,47.1463797,7.2735095,berne"
"195,3.5,""Urtenen-Schönbühl, Etzmattrain 22"",1620,47.0252771,7.5028189,berne"
"196,4.5,""Lyss, Feldegg 12"",1221,47.0687879,7.2995949,berne"
"197,4,""Schwarzenburg, Im Than BE 163503 1"",1665,46.8165543,7.3385253,berne"
"198,3.5,""Cortébert, Rue du Lavoir 3"",850,47.1918634,7.1096947,berne"
"199,4,""2515 Prêles, Contact agency for the address"",1700,47.1017566,7.1319729,berne"
